material_code,material_details,mlfb_no.,unit,qty_(01.02.24),storage_location,type
1000343851,"hrc fuse, 690v,160a, pn:3ne1224-0",NA,pc,1,NA,NA
1000227803,"hrc fuse, 690v,125a, pn:3ne1022-0",NA,pc,9,NA,NA
1000216238,"hrc fuse, 690v,100a, pn:3na7830-0rc",NA,pc,23.5,NA,NA
1000227800,"hrc fuse, 690v,80a, pn:3ne1820-0",NA,pc,6,NA,NA
1000266740,"fuse,semiconductor,bs88,690v,80a,pn:80et",NA,pc,15,NA,NA
1000227798,"hrc fuse, 690v,63a, pn:3na7822-6",NA,pc,23.5,NA,NA
1000098309,"hrc fuse, 415v,50a, pn:3na3820-7y",NA,pc,22,NA,NA
1000164681,"fuse link,415v, 32a, pn:3nwtia32",NA,pc,10,NA,NA
1000310005,"hrc fuse, 20a, pn:1700263",NA,pc,6,NA,NA
1000004526,"fuse link, 6a, pn: 3nwns6",NA,pc,20,NA,NA
1000358191,"hrc fuse, 6a ,pn:3na7801-6",NA,pc,16,NA,NA
1000252950,"tubular fuse,415v, 6a, pn:3nw6301-1",NA,pc,23.5,NA,NA
1000359865,"tubular fuse, 6a,pn:atdr8",NA,pc,5,NA,NA
1000193277,"fuse link, 415v,4a, pn:3nwns4",NA,pc,9,NA,NA
1000236331,"hrc fuse, 2a, pn: 3na7802-6",NA,pc,18,NA,NA
1000193275,"hbc fuse link, 2a, pn: 3nwns2",NA,pc,23.5,NA,NA
NA,pn:10506144erev-a,NA,pc,3,NA,NA
1000359865,"glass fuse, 6a, pn:atdr8",NA,pc,23.5,NA,NA
1000236180,"switch fuse unit, 160a, pn: 3np4070-0ch01",NA,pc,3,NA,NA
1000253133,"disconnector,100a, pn:3np4010-0ch01",NA,pc,1,NA,NA
1000260584,"switch,disconnect,sitor,690v,50a, pn:3nc1091",NA,pc,2,NA,NA
1000004524,"fuse holder, 32a, pn: 3nw32",NA,pc,20,NA,NA
1000260584,"switch,disconnect,sitor,690v,pn:3nc1091",NA,pc,3,NA,NA
1000376124,"puller,fuse, pn:3nx1013",NA,pc,3,NA,NA
1000004405,"fuse base,1p, pn:3nh3030,160a",NA,pc,4,NA,NA
1000098433,"fuse base,1p,gr-3, 360a,690v, pn:3nh3430",NA,pc,5,NA,NA
1000384531,fl switch sfn 4 tx/fx st,NA,pc,1,NA,NA
1000459933,ib il 24 do 16 pac,NA,pc,2,NA,NA
1000459937,ib il 24 di 16 pac,NA,pc,1,NA,NA
1000461183,"module, 24 vdc, pn;2878722",NA,pc,1,NA,NA
1000461358,servo motor connector,NA,pc,1,NA,NA
1000461350,a082500010 relay,NA,pc,1,NA,NA
NA,profi buss connector ;pn no 2744348,NA,pc,1,NA,NA
1000461354,glass sight ; pn;b.odac.1001.204,NA,pc,6,NA,NA
1000461353,glass sight ; pn;b.odac.1001.104,NA,pc,3,NA,NA
1000461181,ib il temp 2 rtd -pac,NA,pc,1,NA,NA
1000459936,il eth bk di8 do4,NA,pc,2,NA,NA
1000461348,"diode 24vdc,pn;b.n2.540.0160",NA,pc,4,NA,NA
100046180,door limit switch (ib il dor lv set pec),NA,pc,1,NA,NA
NA,rod gauge shutter motor pcb,NA,pc,0,NA,NA
1000461184,"module, ilc150 eth 24vdc,pn2985330",NA,pc,1,NA,NA
1000461185,smps,NA,pc,1,NA,NA
NA,rod gauge calibration kit,NA,pc,1,NA,NA
1000634701,encoder ern 430 1024 80s12-03,NA,pc,0,NA,NA
1000461349,head;pn;odac.1001.66730,NA,set,0,NA,NA
1000467450,belt,NA,pc,2,NA,NA
1000461344,card;pn;n6.sp.092.a1,NA,pc,1,NA,NA
1000461346,drive pn; a15 104 5080,NA,pc,1,NA,NA
1000532641,"converter,sig;pn;ci6j/enci.610.03001",NA,pc,0,NA,NA
1000461358,"motor,servo;pn:a15 101 1250",NA,pc,0,NA,NA
1000364043,"a/c;kg-4266,panel,r134a,230vac,270mm",NA,pc,0,NA,NA
NA,"lvdt, transducer,pn:    (strep compactor)",NA,pc,0,NA,NA
1000209092,"lvdt, transducer,pn:btl5-e10-m1750-p-s32 (kickoff)",NA,pc,0,NA,NA
