WRM Electrical Spare List ,,,,,,,,,,,,,,,,,,,
Sr.No.,Material Code,Material Details,,Unit,Qty (01.02.24),,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Sr.No.,Material Code,Material Details,MLFB No.,Unit,Qty (01.02.24),Used Location,Capacity,Storage Location,Type,,,,,,,,,,
D13A,,AC Commutator Choke-1P6SL3000-OEH41-4AAO,,PC,1,"Drive reactor,CH area",,,,,,,,,,,,,
D14,1000189372,"SINAMICS SINGLE MOTOR MODULE INPUT: 600 V DC OUTPUT: 3AC 400 V, 132 A
MLFB NO- 6SL3120-1TE31-3AA3",,PC,1New + 1Old,"RTW#01,02,RTE#01,02, NTM_PR,Coil Plate
 (Installed Qty-6)",,,,,,,,,,,,,
D15,1000189371,"SINAMICS SINGLE MOTOR MODULE INPUT: 600 V DC OUTPUT: 3AC 400 V, 60 A
MLFB NO- 6SL3120-1TE26-0AA3",,PC,1,"RTI#01.02,03
 (Installed Qty-3)",,,,,,,,,,,,,
D16,1000189370,"SINAMICS SINGLE MOTOR MODULE INPUT: 600 V DC OUTPUT: 3AC 400 V, 45 A 
MLFB NO- 6SL3120-1TE24-5AA3",,PC,1,"BPR,PR#02
 (Installed Qty-2)",,,,,,,,,,,,,
D17,1000189369,"SINAMICS SINGLE MOTOR MODULE INPUT: 600V/DC OUT: 3AC 400V/30A
MLFB NO-6SL3120-1TE23-0AA3",,PC,2New+2Old,"Stelmor Conveyor
 (Installed Qty-22)",,,,,,,,,,,,,
D18,1000189368,"SINAMICS SINGLE MOTOR MODULE INPUT: 600 V DC OUTPUT: 3AC 400 V, 18 A 
MLFB NO-6SL3120-1TE21-8AA3",,PC,1,"Ring Distributor
 (Installed Qty-1)",,,,,,,,,,,,,
D19,,"TEST BENCH DRIVE OF ECR (S-120 SLM, 5KW,8.3A,380V/600VDC",,PC,1,TEST BENCH,,,,,,,,,,,,,
D20,1000333133,"CIM Card 
MLFB No.- 6SL3350-6TK00-0EA0
",,PC,3,,,,,,,,,,,,,,
D21,,Surge Arrester for S-120 Drive (DEHN Guard DG1000FM),,PC,15,,,,,,,,,,,,,,
D22,,Surge Arrester for S-120 Drive (DEHN Guard DGS600FM),,PC,4,,,,,,,,,,,,,,
D23,1000366495,"CAPACITOR;14MF,PN:SC1265",,PC,80,Drive Blower Fan,,,,,,,,,,,,,
D24,1000149673,SFU FOR DRIVE,,PC,2,,,,,,,,,,,,,,
D25,1000555623,"DRIVE; ATV71HD11N4, VVVF, 415 V",,PC,1,CRT/DRT Drive,,,,,,,,,,,,,
D26,1000195950,SOFT STARTER FOR CA FAN,,PC,1,CA FAN,,,,,,,,,,,,,
D27,,,,PC,,,,,,,,,,,,,,,
D28,,,,PC,,,,,,,,,,,,,,,
D29,1000570527,"DRIVE;VFD G120,1.5 KW,480VAC",,PC,2,,,,,,,,,,,,,,
D30,1000185353,"ENCODER,HOLLOW SHAFT,TYPE:HOG10DN1024I, MAKE-BAUMULLER",,PC,1NEW+1OLD,NTM,,,,,,,,,,,,,
D31,1000322392,"ENCODER, MAKE-BAUMULLER",,PC,1NEW+1OLD,LAYING HEAD,,,,,,,,,,,,,
D32,1000209532,"ENCODER,PN:861900220 1024 Make- LEINE & LINDE",,PC,3New +4 OLD,,,,,,,,,,,,,,
D33,,"ENCODER,XHI-803",,PC,1NEW,,,,,,,,,,,,,,
D34,,,,PC,,,,,,,,,,,,,,,
D41,,"FAN,WALL MOUNTED",,PC,4,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
